,Number of Rooms,Distance,Number of Bedroom,Bathroom,YearBuilt,"Price in $1,000,000"
4384,4,6.4,4.0,2.0,2007.0,0.977
4385,1,6.4,1.0,1.0,1970.0,0.216
4386,3,6.4,3.0,2.0,1990.0,0.876
4387,1,6.4,1.0,1.0,1970.0,0.227
4388,4,6.4,4.0,2.0,2000.0,0.841
4389,2,6.4,2.0,1.0,2000.0,0.605
4390,2,6.4,2.0,1.0,2013.0,0.305
4392,2,6.4,2.0,1.0,2010.0,0.48
4393,1,6.4,1.0,1.0,1980.0,0.357
4394,3,6.4,3.0,1.0,1940.0,0.91
4395,1,6.4,1.0,1.0,1970.0,0.291
4396,2,6.4,2.0,1.0,1968.0,0.375
4398,2,6.4,2.0,1.0,1910.0,0.752
4400,3,6.4,3.0,1.0,1950.0,1.155
4403,3,6.4,3.0,1.0,2010.0,0.853
4405,3,6.4,3.0,1.0,1985.0,0.48
4406,4,6.4,2.0,1.0,1890.0,0.775
4409,2,6.4,2.0,1.0,1900.0,0.9
4410,2,6.4,2.0,1.0,1980.0,0.281
4411,4,6.4,4.0,2.0,1950.0,1.3
4412,3,6.4,3.0,2.0,2008.0,0.714
4414,2,6.4,2.0,1.0,1940.0,0.95
4417,3,6.4,3.0,1.0,1910.0,0.76
4418,2,6.4,2.0,1.0,2010.0,0.42
4420,2,6.4,2.0,1.0,2000.0,0.575
4422,3,6.4,2.0,1.0,1910.0,0.932
4423,3,6.4,3.0,1.0,1900.0,0.78
4424,2,6.4,2.0,1.0,1960.0,0.295
4425,2,6.4,2.0,1.0,2012.0,0.433
4426,2,6.4,2.0,2.0,2014.0,0.41
4427,2,6.4,2.0,1.0,1900.0,1.17
4428,1,6.4,1.0,1.0,1920.0,0.375
4429,2,6.4,2.0,1.0,1960.0,0.615
4430,3,6.4,3.0,1.0,1940.0,0.747
4431,1,6.4,1.0,1.0,1970.0,0.275
4433,3,6.4,3.0,1.0,1920.0,0.775
4435,2,6.4,2.0,2.0,2013.0,0.571
4439,1,6.4,1.0,1.0,1965.0,0.305
4440,3,6.4,3.0,2.0,1980.0,0.8605
4447,2,6.4,2.0,1.0,2007.0,0.37
4448,2,6.4,2.0,1.0,1910.0,0.711
4450,2,6.4,2.0,1.0,1900.0,0.6905
4451,2,6.4,2.0,1.0,1900.0,0.747
4455,2,6.4,2.0,1.0,1915.0,0.858
4456,4,6.4,4.0,2.0,2015.0,0.699
4457,2,6.4,2.0,1.0,1920.0,0.835
4458,2,6.4,2.0,1.0,1970.0,0.661
4459,2,6.4,2.0,1.0,1900.0,0.7575
4464,1,6.4,1.0,1.0,1975.0,0.282
4465,3,6.4,3.0,1.0,2000.0,0.699
4467,3,6.4,3.0,1.0,1930.0,0.85
4468,2,6.4,2.0,1.0,1970.0,0.315
4470,3,6.4,3.0,1.0,1910.0,0.74
4477,3,6.4,3.0,2.0,2006.0,0.98
4479,2,6.4,2.0,1.0,1960.0,0.316
4480,2,6.4,2.0,1.0,1940.0,0.8
4481,2,6.4,2.0,1.0,1920.0,0.76
4482,3,6.4,3.0,2.0,2010.0,0.735
4484,4,6.4,4.0,2.0,1915.0,1.225
4485,3,6.4,3.0,2.0,2015.0,0.781
4490,3,6.4,3.0,2.0,1930.0,0.7675
4492,2,6.4,2.0,2.0,2009.0,0.395
4493,4,6.4,4.0,2.0,1910.0,0.815
4496,3,6.4,3.0,2.0,2011.0,0.757
4497,4,6.4,4.0,1.0,1910.0,1.45
4498,2,6.4,2.0,1.0,1890.0,0.745
4499,2,6.4,2.0,1.0,2000.0,0.716
4500,3,9.2,3.0,2.0,1935.0,1.735
4506,4,9.2,4.0,2.0,1930.0,1.8
4512,4,9.2,4.0,2.0,2002.0,1.998
4513,2,9.2,2.0,1.0,1960.0,0.671
4519,3,9.2,3.0,2.0,2006.0,1.425
4522,3,9.2,3.0,1.0,1940.0,1.53
4523,4,9.2,4.0,4.0,1985.0,1.9
4528,3,9.2,3.0,2.0,1940.0,1.36
4530,5,9.2,5.0,3.0,2003.0,2.175
4533,4,9.2,4.0,3.0,1930.0,2.325
4538,4,9.2,4.0,3.0,1941.0,2.3
4539,2,9.2,2.0,1.0,1968.0,0.55
4540,3,9.2,3.0,2.0,1940.0,1.6
4544,3,9.2,4.0,2.0,1920.0,2.115
4545,3,9.2,3.0,2.0,1951.0,1.7
4552,4,9.2,4.0,2.0,1910.0,2.077
4556,2,9.2,2.0,1.0,1970.0,0.411
4561,3,9.2,3.0,1.0,1930.0,1.66
4562,6,9.2,5.0,3.0,1940.0,2.25
4565,4,9.2,4.0,2.0,2009.0,2.02
4575,4,9.2,4.0,2.0,1930.0,2.01
4583,1,9.2,1.0,1.0,1980.0,0.452
4589,3,9.2,3.0,1.0,1930.0,1.82
4591,1,9.2,1.0,1.0,1982.0,0.291
4600,2,9.2,2.0,1.0,1910.0,1.02
4601,3,9.2,3.0,1.0,1920.0,1.456
4609,1,9.2,1.0,1.0,1970.0,0.345
4610,5,9.2,5.0,3.0,1920.0,2.0
4612,3,9.2,4.0,2.0,1980.0,1.625
4617,2,9.2,2.0,1.0,1960.0,0.585
4618,5,9.2,5.0,3.0,1940.0,1.96
4619,4,9.2,4.0,3.0,1946.0,1.7
4627,3,9.2,3.0,2.0,1999.0,1.22
4628,3,9.2,3.0,2.0,1990.0,1.375
4630,2,9.2,2.0,1.0,1930.0,0.92
4636,2,9.2,2.0,1.0,1960.0,0.382
4640,2,9.2,2.0,1.0,1950.0,1.28
4648,4,9.2,3.0,3.0,1999.0,1.825
4667,2,9.2,2.0,2.0,1950.0,1.6
4668,3,9.2,3.0,2.0,1920.0,1.88
4676,2,9.2,2.0,1.0,1960.0,0.8565
4689,4,9.2,4.0,2.0,1960.0,1.95
4690,3,9.2,3.0,1.0,1930.0,2.2
4691,3,9.2,3.0,1.0,1930.0,1.751
4692,4,9.2,4.0,2.0,1930.0,1.857
4695,2,9.2,2.0,1.0,1940.0,0.72
4696,3,9.2,3.0,1.0,1935.0,1.5
4702,3,9.2,3.0,1.0,1941.0,1.665
4703,2,9.2,2.0,1.0,1960.0,0.6
4705,3,9.2,3.0,1.0,1940.0,1.42
4712,1,9.2,1.0,1.0,2011.0,0.42
4714,5,9.2,5.0,3.0,1989.0,2.1
4719,4,9.2,4.0,2.0,1930.0,2.1
4727,4,9.2,4.0,3.0,1980.0,1.802
4731,3,9.2,3.0,2.0,1975.0,1.931
4734,2,9.2,2.0,1.0,1910.0,1.25
4740,3,13.0,3.0,1.0,1960.0,0.61
4746,3,13.0,3.0,1.0,1960.0,0.61
4750,3,13.0,3.0,1.0,1965.0,0.8065
4758,4,13.0,4.0,2.0,2017.0,0.55
4759,3,13.0,3.0,1.0,1950.0,0.822
4761,3,13.0,3.0,2.0,1950.0,0.98
4767,2,13.0,2.0,1.0,2010.0,0.43
4770,2,13.0,2.0,1.0,2010.0,0.54
4776,3,13.0,3.0,1.0,1976.0,0.721
4777,3,13.0,3.0,1.0,1950.0,0.737
4780,3,13.0,3.0,2.0,1950.0,0.46
4781,3,13.0,3.0,2.0,2003.0,0.37
4788,3,13.0,3.0,2.0,2014.0,0.545
4791,3,13.0,3.0,1.0,1960.0,0.67
4793,4,13.0,4.0,1.0,1956.0,0.702
4794,2,13.0,2.0,1.0,1950.0,0.73
4798,3,13.0,3.0,1.0,1950.0,0.7115
4800,5,13.0,5.0,4.0,1950.0,0.81
4804,2,13.0,2.0,1.0,1970.0,0.25
4805,3,13.0,3.0,1.0,1970.0,0.46
4808,3,13.0,3.0,1.0,1960.0,0.793
4809,2,13.0,2.0,1.0,1970.0,0.34
4814,3,13.0,3.0,1.0,2000.0,0.4475
4815,3,13.0,3.0,1.0,1960.0,0.588
4819,3,13.0,3.0,1.0,1960.0,0.42
4821,2,13.0,2.0,1.0,2000.0,0.41
4826,3,13.0,3.0,1.0,1950.0,0.525
4829,3,13.0,3.0,1.0,1960.0,0.703
4830,4,13.0,3.0,2.0,2014.0,0.608
4831,5,13.0,5.0,3.0,1970.0,0.705
4839,4,13.0,4.0,3.0,2014.0,0.607
4840,3,13.0,3.0,2.0,1970.0,0.7655
4848,3,13.0,3.0,1.0,2014.0,0.47
4849,3,13.0,3.0,1.0,1995.0,0.4825
4852,3,13.0,3.0,1.0,1960.0,0.58
4855,2,13.0,2.0,1.0,1975.0,0.4345
4856,2,13.0,2.0,1.0,2012.0,0.62025
4858,3,13.0,3.0,1.0,1960.0,0.71
4860,4,13.0,3.0,1.0,1960.0,0.63
4863,3,13.0,3.0,1.0,1968.0,0.6
4865,3,13.0,3.0,2.0,2010.0,0.55
4869,4,13.0,4.0,1.0,1968.0,0.6
4871,4,13.0,4.0,3.0,2014.0,1.2175
4872,3,13.0,3.0,1.0,1960.0,0.6
4875,3,13.0,3.0,2.0,1975.0,0.57
4879,3,13.0,3.0,1.0,1960.0,0.7627
4880,2,13.0,2.0,1.0,2012.0,0.465
4881,2,13.0,2.0,1.0,1955.0,0.74125
4891,4,13.0,4.0,2.0,1935.0,1.0
4893,4,13.0,4.0,2.0,1950.0,0.63
4897,3,13.0,3.0,1.0,1950.0,0.67
4898,2,13.0,2.0,1.0,2013.0,0.417
4899,3,13.0,3.0,1.0,2001.0,0.6
4901,3,13.0,3.0,2.0,2010.0,0.44
4903,3,13.0,3.0,1.0,1950.0,0.66
4909,2,13.0,2.0,1.0,2000.0,0.27
4910,4,13.0,4.0,2.0,1970.0,0.825
4912,4,13.0,4.0,2.0,2005.0,0.638
4913,3,13.6,3.0,2.0,2001.0,0.631
4914,3,13.6,3.0,2.0,2005.0,0.532
4917,3,13.6,3.0,2.0,2004.0,0.504
4919,3,13.6,3.0,2.0,2000.0,0.468
4921,4,13.6,4.0,2.0,2005.0,0.8025
4922,4,13.6,4.0,2.0,2007.0,0.709
4924,3,13.6,3.0,2.0,2004.0,0.485
4927,3,13.6,3.0,2.0,2008.0,0.54
4929,3,13.6,3.0,2.0,2005.0,0.39
4932,4,13.6,4.0,2.0,2000.0,0.8
4934,4,13.6,4.0,2.0,2007.0,0.74
4936,3,12.1,3.0,1.0,1960.0,0.605
4938,3,12.1,3.0,1.0,1970.0,0.6855
4939,2,12.1,2.0,1.0,1950.0,0.61
4940,3,12.1,3.0,1.0,1970.0,0.63
4941,4,12.1,4.0,3.0,2010.0,0.87
4942,3,12.1,3.0,2.0,1950.0,0.81
4945,4,12.1,3.0,2.0,1983.0,0.7725
4946,3,12.1,3.0,1.0,2005.0,0.465
4949,3,12.1,3.0,1.0,1980.0,0.719
4950,2,12.1,2.0,1.0,2010.0,0.487
4951,4,12.1,2.0,2.0,1950.0,0.7
4952,4,12.1,4.0,2.0,1970.0,0.6005
4954,3,12.1,3.0,1.0,1970.0,0.73
4955,3,12.1,3.0,2.0,1960.0,0.8
4958,3,12.1,3.0,2.0,2011.0,0.75
4959,3,12.1,3.0,1.0,1960.0,0.74
4961,3,12.1,3.0,1.0,1960.0,0.721
4962,3,12.1,3.0,1.0,1970.0,0.646
4963,3,12.1,3.0,2.0,2000.0,0.545
4965,4,12.1,3.0,1.0,1960.0,0.777
4967,2,12.1,3.0,3.0,1950.0,0.722
4968,2,12.1,2.0,1.0,1960.0,0.545
4971,3,12.1,3.0,2.0,2012.0,0.51
4972,2,12.1,2.0,1.0,1960.0,0.5425
4973,3,12.1,4.0,1.0,1965.0,0.6315
4976,3,12.1,3.0,1.0,1960.0,0.55
4977,2,12.1,2.0,1.0,1970.0,0.33
4982,4,12.1,4.0,2.0,1950.0,0.815
4983,2,12.1,2.0,1.0,1960.0,0.715888
4985,2,12.1,2.0,1.0,2012.0,0.468
4991,2,12.1,2.0,1.0,1990.0,0.515
4995,2,13.7,2.0,1.0,1975.0,0.895
4996,2,13.7,2.0,1.0,1975.0,0.587
5001,4,13.7,4.0,2.0,1925.0,2.14
5003,4,13.7,4.0,2.0,2011.0,1.6
5006,3,13.7,3.0,1.0,1998.0,1.0035
5007,2,13.7,2.0,1.0,1965.0,0.802
5012,3,13.7,3.0,1.0,1955.0,1.56
5021,2,13.7,2.0,1.0,1985.0,0.76
5022,2,13.7,2.0,1.0,2005.0,0.616
5023,4,13.7,4.0,1.0,1955.0,1.68
5028,3,13.7,4.0,2.0,1984.0,1.12
5032,4,13.7,4.0,3.0,2014.0,1.25
5034,4,13.7,4.0,3.0,1925.0,2.0
5036,5,13.7,4.0,2.0,1950.0,1.805
5051,2,13.7,2.0,1.0,1934.0,1.615
5053,2,13.7,2.0,1.0,1970.0,0.786
5056,3,13.7,3.0,2.0,1970.0,1.05
5058,3,13.7,3.0,1.0,1960.0,0.81
5061,3,13.7,3.0,2.0,1970.0,1.46
5065,3,13.7,3.0,2.0,2012.0,1.42
5070,2,13.7,2.0,2.0,1970.0,0.8755
5072,3,13.7,3.0,2.0,2000.0,1.4
5077,5,13.7,5.0,2.0,1950.0,1.705
5081,2,13.7,2.0,1.0,1970.0,0.75
5085,2,13.7,2.0,1.0,1970.0,0.898
5086,4,13.7,4.0,2.0,1950.0,1.515
5091,4,13.7,4.0,3.0,2000.0,2.2
5094,3,13.7,3.0,2.0,1987.0,1.1
5099,2,13.7,2.0,2.0,2007.0,0.45
5102,3,13.7,3.0,2.0,1999.0,1.14
5104,2,13.7,2.0,1.0,1970.0,0.5
5105,4,13.7,4.0,3.0,1950.0,1.46
5112,4,13.7,4.0,3.0,1950.0,1.74
5114,4,13.7,4.0,2.0,1935.0,1.8
5120,4,13.7,4.0,2.0,1940.0,2.16
5126,4,13.7,5.0,2.0,1925.0,2.25
5128,4,13.7,4.0,2.0,1925.0,2.13
5135,2,14.5,2.0,1.0,1960.0,0.4
5155,3,14.5,2.0,2.0,1950.0,0.926
5156,3,14.5,3.0,1.0,1970.0,1.07
5157,2,14.5,2.0,1.0,1994.0,0.801
5160,3,14.5,3.0,2.0,2005.0,1.15
5162,2,14.5,2.0,1.0,2007.0,0.472
5171,3,14.5,3.0,2.0,1950.0,1.3
5173,4,14.5,4.0,2.0,2002.0,1.2
5179,4,4.6,4.0,2.0,2005.0,1.65
5185,1,4.6,1.0,1.0,1950.0,0.348
5189,3,4.6,3.0,1.0,1969.0,1.189
5190,2,4.6,2.0,2.0,2014.0,0.61
5194,1,4.6,1.0,1.0,1995.0,0.492
5195,2,4.6,3.0,1.0,1970.0,0.891
5196,2,4.6,2.0,1.0,1930.0,0.806
5203,3,4.6,3.0,2.0,1940.0,2.0
5205,2,4.6,2.0,1.0,2007.0,0.5
5210,2,4.6,2.0,1.0,1960.0,0.753
5211,1,4.6,1.0,1.0,1970.0,0.33
5213,3,4.6,3.0,1.0,1890.0,1.42
5217,2,4.6,2.0,1.0,2014.0,0.495
5219,1,4.6,1.0,1.0,1966.0,0.292
5221,1,4.6,1.0,1.0,1975.0,0.365
5222,2,4.6,2.0,1.0,2003.0,0.58
5223,3,4.6,3.0,2.0,1938.0,1.3
5224,3,4.6,3.0,1.0,1900.0,1.3
5232,2,4.6,2.0,1.0,1970.0,0.44
5233,3,4.6,3.0,3.0,1999.0,1.0
5237,3,4.6,3.0,1.0,1910.0,1.741
5240,2,4.6,2.0,1.0,2004.0,0.545
5241,2,4.6,2.0,1.0,1960.0,0.655
5243,1,4.6,1.0,1.0,2004.0,0.488
5245,3,4.6,3.0,2.0,1970.0,1.51
5252,3,4.6,3.0,1.0,1910.0,2.065
5254,1,4.6,1.0,1.0,1960.0,0.35
5257,3,4.6,3.0,2.0,1960.0,1.4
5258,3,4.6,3.0,1.0,1900.0,1.712
5261,1,4.6,1.0,1.0,1940.0,0.48
5272,2,4.6,2.0,1.0,1885.0,1.8285
5274,1,4.6,1.0,1.0,1950.0,0.4
5275,4,4.6,4.0,2.0,2002.0,1.65
5278,2,4.6,2.0,1.0,1965.0,0.5875
5279,2,4.6,2.0,1.0,2013.0,0.56
5282,4,4.6,4.0,2.0,1890.0,1.936
5288,3,4.6,3.0,1.0,1970.0,0.63
5289,3,4.6,3.0,2.0,1910.0,1.56
5292,3,4.6,3.0,2.0,2014.0,0.84
5293,3,4.6,3.0,3.0,2011.0,1.78
5299,2,4.6,2.0,1.0,1970.0,0.535
5300,2,4.6,2.0,1.0,1940.0,0.815
5303,3,4.6,3.0,2.0,2010.0,1.975
5304,2,4.6,2.0,1.0,1960.0,0.445
5310,2,4.6,2.0,1.0,1965.0,0.6575
5313,1,4.6,1.0,1.0,1970.0,0.445
5314,2,4.6,2.0,1.0,2007.0,0.75
5315,3,4.6,3.0,1.0,1900.0,1.18
5316,2,4.6,2.0,1.0,1970.0,0.47
5317,2,4.6,2.0,1.0,2005.0,0.485
5320,4,4.6,3.0,2.0,1940.0,1.8
5322,2,4.6,2.0,1.0,1970.0,0.805
5323,3,4.6,3.0,1.0,1900.0,1.855
5324,3,4.6,3.0,1.0,1890.0,1.377
5326,2,4.6,2.0,1.0,1965.0,0.665
5329,3,4.6,3.0,1.0,1890.0,1.551
5335,2,4.6,2.0,1.0,1960.0,0.6125
5340,2,4.6,2.0,1.0,2001.0,0.715
5345,2,4.6,2.0,2.0,1975.0,1.055
5346,4,4.6,4.0,2.0,1890.0,1.976
5349,1,4.6,1.0,1.0,1960.0,0.499
5350,2,4.6,2.0,1.0,1970.0,0.495
5353,3,4.6,3.0,2.0,1890.0,1.4
5354,1,4.6,1.0,1.0,2014.0,0.37
5355,2,4.6,2.0,2.0,2000.0,0.6275
5362,2,4.6,2.0,1.0,1970.0,0.45
5363,3,4.6,3.0,2.0,1910.0,2.16
5364,2,10.5,2.0,1.0,1930.0,0.815
5372,2,10.5,2.0,2.0,2007.0,0.565
5373,5,10.5,4.0,5.0,2013.0,1.5875
5381,3,10.5,3.0,2.0,1950.0,0.994
5384,2,10.5,2.0,1.0,1955.0,0.725
5385,3,10.5,3.0,1.0,1950.0,0.743
5386,3,10.5,3.0,1.0,1950.0,0.785
5388,3,10.5,3.0,2.0,2005.0,0.62
5390,3,10.5,3.0,2.0,2012.0,0.70675
5392,2,10.5,2.0,1.0,1950.0,0.584
5393,3,10.5,3.0,2.0,1960.0,0.909
5394,4,10.5,4.0,2.0,1960.0,1.086
5396,2,10.5,2.0,1.0,1950.0,0.68
5397,2,10.5,2.0,1.0,1970.0,0.44
5399,2,10.5,2.0,1.0,1950.0,0.65
5400,5,10.5,5.0,2.0,1972.0,0.89
5401,3,10.5,3.0,1.0,1955.0,0.65
5408,2,10.5,2.0,1.0,2008.0,0.605
5409,8,10.5,8.0,4.0,1960.0,0.77
5410,3,10.5,3.0,1.0,1960.0,0.95
5411,4,10.5,4.0,1.0,1975.0,0.856
5412,3,10.5,3.0,2.0,2012.0,0.6
5420,3,10.5,3.0,1.0,1925.0,1.1
5421,3,10.5,3.0,1.0,1950.0,0.915
5422,2,10.5,2.0,1.0,1970.0,0.4
5424,2,10.5,2.0,1.0,1994.0,0.526
5426,3,10.5,3.0,1.0,1960.0,0.55
5428,2,10.5,2.0,1.0,1955.0,0.59
5429,2,10.5,2.0,1.0,1950.0,0.92
5430,2,10.5,2.0,1.0,1955.0,0.46
5432,4,10.5,4.0,2.0,1950.0,1.0005
5433,3,10.5,3.0,1.0,1960.0,0.631
5436,3,9.4,2.0,1.0,1965.0,0.691
5437,3,9.4,3.0,1.0,1960.0,0.56
5446,2,9.4,2.0,1.0,2013.0,0.37
5447,3,9.4,3.0,1.0,1955.0,0.532
5448,3,9.4,3.0,2.0,1960.0,0.74
5453,3,9.4,3.0,1.0,1970.0,0.525
5458,2,9.4,2.0,1.0,1960.0,0.5155
5459,3,9.4,3.0,1.0,1950.0,0.8
5461,2,9.4,2.0,1.0,1960.0,0.45
5463,2,9.4,2.0,1.0,1950.0,0.62
5465,2,9.4,2.0,1.0,1970.0,0.36
5466,2,9.4,2.0,1.0,1955.0,0.4405
5467,4,9.4,4.0,1.0,1955.0,0.758
5474,3,9.4,3.0,1.0,1980.0,0.48
5475,4,9.4,4.0,2.0,1990.0,0.715
5477,3,9.4,3.0,1.0,1965.0,0.64625
5478,3,9.4,3.0,1.0,1960.0,1.375
5481,3,9.4,3.0,1.0,1950.0,0.722
5487,2,9.4,2.0,1.0,1960.0,0.725
5495,3,9.4,2.0,1.0,1960.0,0.465
5498,2,13.0,2.0,1.0,1950.0,1.55
5499,2,13.0,2.0,1.0,1970.0,0.516
5501,3,13.0,3.0,1.0,1920.0,1.34
5503,3,13.0,2.0,1.0,1949.0,1.316
5504,3,13.0,3.0,2.0,2002.0,0.828
5506,3,13.0,3.0,1.0,1930.0,1.055
5508,2,13.0,2.0,1.0,1970.0,0.623
5509,4,13.0,4.0,2.0,1925.0,2.12
5510,4,13.0,4.0,2.0,1925.0,1.745
5512,4,13.0,4.0,2.0,1940.0,1.7
5513,2,13.0,2.0,1.0,2010.0,0.42
5514,2,13.0,2.0,1.0,1970.0,0.3755
5520,4,13.0,4.0,1.0,1930.0,1.337
5521,2,13.0,2.0,1.0,1960.0,0.455
5523,2,13.0,2.0,1.0,1975.0,0.4
5527,3,13.0,3.0,1.0,1940.0,1.21
5530,4,13.0,3.0,2.0,1950.0,1.1675
5531,3,13.0,3.0,2.0,1975.0,0.9
5533,2,13.0,2.0,1.0,1950.0,0.6775
5535,2,7.9,2.0,1.0,1970.0,0.43
5536,1,7.9,1.0,1.0,1970.0,0.46
5540,4,7.9,4.0,2.0,1925.0,2.265
5543,2,7.9,2.0,1.0,1960.0,0.44
5546,3,7.9,5.0,3.0,2016.0,0.981
5548,3,7.9,3.0,2.0,2005.0,0.89
5551,2,7.9,2.0,1.0,1960.0,0.49
5552,2,7.9,2.0,1.0,1965.0,0.739
5555,3,7.9,3.0,2.0,1950.0,0.785
5556,3,7.9,3.0,1.0,1945.0,1.155
5559,2,7.9,2.0,1.0,1955.0,1.02
5562,3,7.9,3.0,1.0,1960.0,1.465
5563,3,7.9,3.0,2.0,1980.0,0.855
5566,1,7.9,1.0,1.0,1960.0,0.413
5567,3,7.9,3.0,2.0,2003.0,1.01
5569,3,7.9,3.0,1.0,1975.0,1.22
5571,3,7.9,3.0,2.0,1920.0,1.605
5572,2,7.9,2.0,1.0,1960.0,0.587
5574,2,7.9,2.0,1.0,1960.0,0.475
5579,3,7.9,3.0,1.0,1950.0,1.075
5580,2,7.9,2.0,1.0,1970.0,0.465
5584,3,7.9,3.0,1.0,1950.0,1.535
5586,4,7.9,4.0,2.0,1950.0,1.47
5587,3,7.9,3.0,1.0,1930.0,1.486
5588,1,7.9,1.0,1.0,1970.0,0.42
5589,3,7.9,3.0,1.0,1990.0,0.75
5593,5,7.9,4.0,2.0,2007.0,1.73
5595,2,7.9,3.0,1.0,1970.0,0.779
5596,3,7.9,3.0,2.0,2000.0,1.85
5603,2,7.9,2.0,1.0,1960.0,0.5
5608,3,7.9,3.0,1.0,1950.0,1.102
5609,3,7.9,3.0,2.0,1950.0,1.275
5611,2,7.9,2.0,2.0,2010.0,0.785
5612,3,7.9,3.0,2.0,1980.0,1.2235
5613,2,7.9,2.0,2.0,1980.0,0.845
5614,4,7.9,4.0,2.0,1935.0,1.72
5617,3,7.9,3.0,1.0,1930.0,1.225
5619,4,7.9,4.0,1.0,1940.0,1.46
5620,1,7.9,1.0,1.0,1992.0,0.421
5623,4,7.9,4.0,3.0,1980.0,2.09
5630,3,7.9,3.0,2.0,1990.0,0.7
5631,5,7.9,5.0,3.0,2006.0,1.42
5634,3,7.9,3.0,1.0,1970.0,0.55
5637,2,7.9,2.0,1.0,2012.0,0.71
5638,3,7.9,3.0,2.0,2000.0,0.65
5641,1,7.9,1.0,1.0,1970.0,0.385
5653,3,15.0,3.0,1.0,1975.0,0.515
5655,3,15.0,3.0,2.0,1980.0,0.582
5656,3,15.0,3.0,2.0,1980.0,0.545
5658,4,15.0,4.0,2.0,2000.0,0.751
5659,4,15.0,4.0,1.0,1985.0,0.5
5660,4,15.0,4.0,2.0,1980.0,0.56
5663,3,12.8,3.0,2.0,1995.0,0.703
5665,3,12.8,3.0,1.0,1970.0,0.65
5666,3,12.8,3.0,2.0,2010.0,0.77
5667,3,12.8,3.0,2.0,2012.0,0.48
5668,3,12.8,3.0,1.0,1974.0,0.59
5669,4,12.8,4.0,2.0,2011.0,0.9
5672,3,12.8,3.0,2.0,1999.0,0.7
5675,4,12.8,4.0,2.0,1978.0,0.816
5677,4,12.8,3.0,1.0,1965.0,0.845
5678,3,12.8,3.0,1.0,1965.0,0.725
5680,3,12.8,3.0,2.0,1980.0,0.772
5682,3,12.8,3.0,2.0,2013.0,0.65
5683,3,12.8,3.0,2.0,1960.0,0.757
5685,3,12.8,3.0,2.0,1970.0,0.69
5687,3,12.8,3.0,1.0,2003.0,0.583
5688,4,12.8,3.0,2.0,1975.0,0.92
5689,3,12.8,3.0,1.0,1980.0,0.88
5690,3,12.8,3.0,2.0,2013.0,0.58
5691,4,12.8,4.0,3.0,1950.0,0.886
5693,4,12.8,4.0,2.0,1992.0,0.92
5698,3,12.8,3.0,3.0,1980.0,0.976
5700,4,12.8,4.0,2.0,2011.0,1.42
5702,3,12.8,3.0,1.0,1970.0,0.9
5709,3,12.8,3.0,1.0,2000.0,0.56
5710,4,12.8,4.0,2.0,1980.0,1.01
5716,4,12.8,4.0,2.0,1990.0,0.835
5717,3,12.8,3.0,2.0,1995.0,0.705
5720,3,12.8,3.0,2.0,1998.0,0.68
5727,3,12.8,3.0,1.0,1965.0,0.785
5729,3,12.8,3.0,2.0,1970.0,0.695
5731,2,12.8,5.0,1.0,1990.0,0.502
5732,4,12.8,4.0,2.0,1970.0,0.77
5734,3,12.8,3.0,1.0,1970.0,0.57
5736,4,12.8,4.0,2.0,1995.0,0.83
5737,3,12.8,3.0,1.0,1970.0,0.6
5738,3,12.8,3.0,2.0,2017.0,0.825
5743,4,12.8,4.0,2.0,2000.0,0.735
5745,3,12.8,3.0,2.0,1970.0,0.875
5746,3,12.8,4.0,1.0,1960.0,0.6012
5749,3,12.8,3.0,1.0,1980.0,0.68
5757,3,12.8,3.0,1.0,1970.0,0.705
5758,3,12.8,3.0,2.0,2013.0,0.71
5760,4,12.8,4.0,2.0,1980.0,0.732
5761,3,12.8,3.0,2.0,1970.0,0.715
5763,3,4.2,3.0,1.0,2000.0,0.852
5764,3,4.2,3.0,1.0,1910.0,1.037
5766,3,4.2,3.0,1.0,1910.0,1.47
5769,2,4.2,2.0,1.0,2008.0,0.4925
5770,2,4.2,2.0,1.0,1970.0,0.42
5773,3,4.2,3.0,1.0,1900.0,1.05
5775,2,4.2,2.0,1.0,2002.0,0.42
5779,3,4.2,3.0,1.0,1900.0,1.271
5780,3,4.2,3.0,1.0,1900.0,1.01
5781,2,4.2,2.0,1.0,2002.0,0.75
5785,2,4.2,2.0,2.0,1999.0,0.905
5787,2,4.2,2.0,1.0,1900.0,0.96
5788,2,4.2,2.0,1.0,1900.0,1.031
5789,3,4.2,3.0,2.0,1998.0,0.918
5790,3,4.2,3.0,1.0,1992.0,0.87
5791,3,4.2,3.0,1.0,1910.0,1.165
5792,5,4.2,5.0,2.0,1890.0,1.71
5795,3,4.2,3.0,1.0,1900.0,1.455
5796,1,4.2,1.0,1.0,2012.0,0.365
5798,2,4.2,2.0,2.0,2010.0,0.442
5799,2,4.2,2.0,1.0,1965.0,0.765
5801,2,4.2,2.0,1.0,2010.0,0.515
5803,3,4.2,3.0,1.0,1990.0,0.57
5804,1,4.2,1.0,1.0,2012.0,0.37
5807,2,4.2,2.0,2.0,2008.0,1.2345
5808,2,4.2,2.0,1.0,1998.0,0.666
5812,2,4.2,2.0,1.0,1915.0,0.825
5817,2,4.2,2.0,1.0,1887.0,0.812
5818,5,4.2,5.0,2.0,1890.0,1.9
5820,1,4.2,1.0,1.0,1997.0,0.445
5821,2,4.2,3.0,2.0,2002.0,0.732
5822,3,4.2,3.0,2.0,1900.0,1.26
5823,3,4.2,3.0,2.0,1997.0,1.0
